Ingredient,Category,Used in # Recipes,Recipes
Scallion oil,Oils & Fats,3,Katsu Curry; Shoyu Ramen; Thai Curry
Béchamel,Other,2,Alfredo Fettuccine; Risotto
Drunken sauce,Sauces & Condiments,2,Drunken Noodles; General Tso's Water Chestnuts
Ginger paste,Sauces & Condiments,2,Peanut Butter Ramen; Spiced Miso Ramen
Ginger-garlic paste,Sauces & Condiments,2,Hakka Noodles; Pad Thai
Gyoza dip,Other,2,General Tso's Water Chestnuts; New Dimsum Platter
Arancini batter,Other,1,Arancini
Bao sauce base,Sauces & Condiments,1,Tofu Bao
Batter,Other,1,Pasta Fritti 2.0
Boiled hakka noodles,Oils & Fats,1,Hakka Noodles
Boiled noodles,Oils & Fats,1,Buttery Chilli Garlic Noodles
Boiled soy keema,Oils & Fats,1,Okonomiyaki Gyoza (6 Pcs)
Bread base,Grains & Flour,1,Garlic Bread
Caesar mayo,Sauces & Condiments,1,Caesar Salad
Caramel sauce,Sauces & Condiments,1,Sticky Toffee Pudding
Cheese & Chilli Dumplings,Dairy,1,New Dimsum Platter
Chestnut Gyoza,Bakery,1,New Dimsum Platter
Chili Crisp,Spices,1,New Dimsum Platter
Chilli besan paste,Spices,1,Okonomiyaki Gyoza (6 Pcs)
Chilli crisps,Spices,1,Kwispy Wonton
Chilli Garlic Sauce - Wok hei sauce,Spices,1,Custom Stir Fry
Chilli Oil Dumplings filling,Oils & Fats,1,Chilli Oil Dumplings
Chilli Oil Dumplings paste,Oils & Fats,1,Chilli Oil Dumplings
Chilly crisps and oil,Oils & Fats,1,Volcano 1
Coffee sponge,Other,1,Tiramisu 3.0
Cold Spicy Sesame sauce,Spices,1,Cold Spicy Sesame Noodles
Coleslaw,Other,1,Tofu Bao
Cooked risotto rice mix,Grains & Flour,1,Arancini
Corn Rocks sauce,Sauces & Condiments,1,Creamy Corn Rocks
Dashi,Sauces & Condiments,1,Shoyu Ramen
Dragon sauce,Sauces & Condiments,1,Dragon Roll
Forest Dip,Other,1,New Dimsum Platter
Forest Dumplings,Other,1,New Dimsum Platter
Fried spring roll,Other,1,Jalapeño Popper Roll
Fried Tofu toss on soy,Sauces & Condiments,1,Gimbap 1
Garlic pomodoro sauce,Sauces & Condiments,1,Stuffed Conchiglioni
Green garlic cream cheese,Dairy,1,Kwispy Scallion Pancake
Green paste,Sauces & Condiments,1,Thai Curry
Hakka sauce,Sauces & Condiments,1,Hakka Noodles
Iced tea (Tata Gold),Beverages,1,Lemon Iced Tea
Korean Mandu filling,Other,1,Korean Mandu
Kunafa base,Other,1,Pistachio Mousse Cake
Kwispy Wonton filling,Other,1,Kwispy Wonton
Lotus root sauce,Sauces & Condiments,1,Kwispy Lotus Root
Mix seasoning,Spices,1,Caramelised Onion Pasta
Oil + Water (for steaming),Oils & Fats,1,Chestnut Gyoza
Orange (creamy tomato) sauce,Dairy,1,Spicy Tomato & Cream Macaroni
Pad Thai sauce,Sauces & Condiments,1,Pad Thai
Pesto dollop,Sauces & Condiments,1,Tomato Butter Risotto
Pistachio mousse,Bakery,1,Pistachio Mousse Cake
Pistachio sponge,Bakery,1,Pistachio Mousse Cake
Pumpkin seeds & pistachios (crushed & mixed),Bakery,1,Pink Burrata Pasta
Red Momos Sauce,Sauces & Condiments,1,New Dimsum Platter
Ricotta filling 15 g each,Dairy,1,Pasta Fritti 2.0
Roasted bell pepper paste,Vegetables,1,Roasted Red Bell Pepper Soup
Salsa,Other,1,Bombay Blues Roll
Saucy Momos,Other,1,New Dimsum Platter
Sautéed spinach with soy & garlic,Sauces & Condiments,1,Gimbap 1
Scallion Pancake,Vegetables,1,Kwispy Scallion Pancake
Scallion salad,Vegetables,1,Kwispy Scallion Pancake
Seasoning,Spices,1,Pasta Fritti 2.0
Sesame mix,Spices,1,Thai Curry
Shoyu tare,Other,1,Shoyu Ramen
Sichuan Sauce,Sauces & Condiments,1,Thai Spring Roll
Sichuan soy glaze,Sauces & Condiments,1,Kwispy Scallion Pancake
Slurry,Other,1,Chestnut Gyoza
Sticky toffee pudding,Other,1,Sticky Toffee Pudding
Stock pwd,Other,1,Okonomiyaki Gyoza (6 Pcs)
Sweet corn puree,Vegetables,1,Creamy Corn Rocks
Tamarind syrup,Sauces & Condiments,1,Tamarind Fizz
Tempura flex,Other,1,Bombay Blues Roll
Teriyaki Sauce - Sesame seed,Spices,1,Custom Stir Fry
Teriyaki Sauce - Water,Sauces & Condiments,1,Custom Stir Fry
Thai Spring Filling,Other,1,Thai Spring Roll
Tofu batter,Protein,1,Tofu Bao
Truffle Edamame Dumplings,Other,1,New Dimsum Platter
Tteokbokki sauce,Sauces & Condiments,1,Tteokbokki
Tuile décor,Other,1,Tiramisu 3.0
Veg stock,Other,1,Shoyu Ramen
Wasabi paste,Sauces & Condiments,1,Volcano 1
White chocolate décor,Bakery,1,Pistachio Mousse Cake
Wok Hei Sauce - Black pepper,Spices,1,Custom Stir Fry
Wok Hei Sauce - Water,Sauces & Condiments,1,Custom Stir Fry
Yaki Soba Sauce - Black pepper,Spices,1,Custom Stir Fry
Yaki Soba Sauce - Corn starch,Sauces & Condiments,1,Custom Stir Fry
Yaki Soba Sauce - Crushed black pepper,Spices,1,Custom Stir Fry
Yaki Soba Sauce - Hot sauce,Sauces & Condiments,1,Custom Stir Fry
Yaki Soba Sauce - Oyster sauce,Sauces & Condiments,1,Custom Stir Fry
Yaki Soba Sauce - Soy sauce,Sauces & Condiments,1,Custom Stir Fry
Yaki Soba Sauce - Sugar,Sauces & Condiments,1,Custom Stir Fry
Yaki Soba Sauce - Water,Sauces & Condiments,1,Custom Stir Fry